date,cpi,pce,cpi_index_2015_01_100,real_pce,pce_yoy_pct,real_pce_yoy_pct,cpi_yoy_pct
2017-01-01,243.618,13063.7,103.77896203146366,12588.004104376525,4.693861195704452,2.129996555597513,2.5103933482571117
2017-02-01,244.006,13088.4,103.94424635884589,12591.75034548331,4.252658409335286,1.402870979557913,2.8103616813294208
2017-03-01,243.892,13139.9,103.895683437914,12647.204932101095,4.808965462231796,2.3113447642733043,2.44119623655914
2017-04-01,244.193,13169.2,104.02390658879558,12659.782190316677,4.422154382904497,2.1980954420442345,2.176223471915395
2017-05-01,244.004,13171.9,103.94339437777691,12672.18573998787,4.103471986216367,2.206174647145276,1.8563431667619756
2017-06-01,244.163,13225.2,104.01112687276088,12715.178075302156,3.880231242930754,2.203515314111093,1.640565809959127
2017-07-01,244.243,13263.3,104.0452061155201,12747.632010333971,3.971246482240698,2.2080479343623782,1.7251073506566073
2017-08-01,245.183,13294.6,104.445637217941,12728.72697617698,3.960713475809552,1.9941424284660947,1.92812155729698
2017-09-01,246.435,13417.3,104.9789773671229,12780.93989530708,4.442420562639127,2.213586631830111,2.1805652303711787
2017-10-01,246.626,13447.5,105.06034155921056,12799.78705610925,4.511541151783627,2.4414476558567433,2.020757753132485
2017-11-01,247.284,13540.6,105.34064333090518,12854.107941476199,5.022880632901572,2.7897789911949022,2.172493864295566
2017-12-01,247.805,13666.1,105.56258439937464,12945.969519178387,5.076157743793197,2.8847831419089642,2.129930719552253
2018-01-01,248.859,13703.3,106.01157842272744,12926.229572167373,4.896009553189362,2.6868871743794154,2.151318868063945
2018-02-01,249.529,13738.7,106.29699208083596,12924.824805533626,4.968521744445464,2.6451799861946235,2.263468931091861
2018-03-01,249.577,13793.2,106.31743962649149,12973.600613838616,4.971879542462276,2.5807732498195346,2.3309497646499366
2018-04-01,250.227,13838.4,106.59433347391021,12982.303607524367,5.081553928864313,2.5476063676228344,2.4709963021052994
2018-05-01,250.792,13905.0,106.83501812589724,13015.395367475836,5.565635937108548,2.7083696098688437,2.781921607842497
2018-06-01,251.018,13930.4,106.93129198669205,13027.430737237968,5.3322445029186705,2.4557474546292646,2.8075506935940187
2018-07-01,251.214,13974.8,107.01478613145214,13058.756182378373,5.364426650984289,2.440642872277654,2.854124785561929
2018-08-01,251.663,14014.0,107.20605588143832,13072.022736755103,5.411219592917416,2.6970156655935273,2.6429238568742575
2018-09-01,252.182,14017.8,107.42714496883879,13048.657305438137,4.475565128602632,2.094661365470918,2.332055105808828
2018-10-01,252.772,14083.1,107.67847938418807,13078.843684031463,4.726529094627252,2.180166175413212,2.492032470218053
2018-11-01,252.594,14162.9,107.6026530690488,13162.221930449656,4.595808162119841,2.3970079477804163,2.147328577667773
2018-12-01,252.767,14051.6,107.67634943151563,13049.84806244486,2.8208486693350743,0.8024006476501144,2.0023809043401064
2019-01-01,252.561,14084.6,107.58859538141061,13091.164495705989,2.7825414316259733,1.275970866970777,1.4875893578291333
2019-02-01,253.319,14117.4,107.91149620655428,13082.387415866953,2.7564471165393956,1.2190696021339376,1.5188615351321877
2019-03-01,254.277,14248.6,108.31959513859601,13154.221987045625,3.301626888611775,1.3922223951795099,1.8831863513063984
2019-04-01,255.233,14290.0,108.72684208956878,13143.028644415102,3.263383050063595,1.238031721870847,2.000583470209061
2019-05-01,255.296,14353.3,108.75367949324163,13197.990235256331,3.2240201366414922,1.4029144918392689,1.7959105553606136
2019-06-01,255.213,14408.7,108.71832227887896,13253.239838487852,3.433497961293286,1.733335650017498,1.671194894390049
2019-07-01,255.802,14496.0,108.96923070369375,13302.837788602123,3.7295703695222837,1.8691030203406012,1.826331335037068
2019-08-01,256.036,14558.2,109.0689124887645,13347.708038713308,3.883259597545319,2.108972019938804,1.7376412106666406
2019-09-01,256.43,14590.6,109.23675275935368,13356.859876769491,4.086233217766,2.361948544720449,1.6844977040391562
2019-10-01,257.155,14617.4,109.54559589685915,13343.667429371393,3.7939090115102436,2.024825372469774,1.7339736996186295
2019-11-01,257.879,14711.0,109.85401304383018,13391.408827395793,3.869970133235423,1.7412477783552038,2.092290394862917
2019-12-01,258.63,14774.8,110.17393193523239,13410.431796775316,5.146744854678453,2.7631259199725866,2.3195274699624457
2020-01-01,259.127,14868.3,110.38564923087408,13469.413917114001,5.564233276060371,2.889348930968527,2.599767976845202
2020-02-01,259.25,14828.1,110.43804606661641,13426.622914946962,5.034213098729223,2.631289596748254,2.3413166797595197
2020-03-01,258.076,13812.8,109.93793317912477,12564.180170182424,-3.058546102775017,-4.485569860720595,1.4940399642909163
2020-04-01,256.032,12249.2,109.06720852662653,11230.87329865017,-14.281315605318401,-14.548818217614311,0.3130472940411133
2020-05-01,255.802,13281.5,108.96923070369375,12188.302986294088,-7.467272334585074,-7.650310622787282,0.1982013035848551
2020-06-01,257.042,14049.2,109.49745896646175,12830.617379260979,-2.4950203696377904,-3.1888237470777847,0.7166562831830481
2020-07-01,258.352,14307.2,110.05550656664407,12999.985594847343,-1.3024282560706313,-2.2765984113123805,0.9968647625897997
2020-08-01,259.316,14462.2,110.46616144189274,13091.972972743682,-0.6594221813136292,-1.915947406310503,1.2810698495523853
2020-09-01,259.997,14668.1,110.75626099588067,13243.585390216042,0.5311639000452395,-0.8480622511467639,1.3910228912373812
2020-10-01,260.319,14725.8,110.89342994798656,13279.23575536169,0.7415819502784249,-0.4828633083876155,1.2303863428671624
2020-11-01,260.911,14701.6,111.14561634440483,13227.332290321221,-0.06389776357826893,-1.225237308407079,1.1757452138405844
2020-12-01,262.045,14822.0,111.62868961051686,13277.948573718253,0.3194628692097412,-0.9879116874440985,1.3204191315779434
2021-01-01,262.639,15073.0,111.88172798800412,13472.262424849318,1.3767545718071483,0.021147970897961166,1.3553199782346148
2021-02-01,263.573,14983.5,112.27960314721805,13344.810259396829,1.048010196855964,-0.6093315949095124,1.667502410800381
2021-03-01,264.847,15709.7,112.82231508815872,13924.284382681324,13.732914398239316,10.825252376806315,2.623645747764214
2021-04-01,266.625,15917.5,113.57972625848254,14014.384894514767,29.94726186199914,24.78446263122873,4.137373453318349
2021-05-01,268.404,15973.5,114.33756341934081,13970.474376313321,20.268794940330537,14.621981353953117,4.9264665639830785
2021-06-01,270.71,16191.7,115.31989759187549,14040.68191016217,15.249978646470975,9.431070190411116,5.317418943207719
2021-07-01,271.965,16239.7,115.85451571266086,14017.321552037947,13.507185193469029,7.825669880694597,5.269167647240969
2021-08-01,272.752,16412.9,116.18977026330475,14125.942380990791,13.488265962301726,7.897735585001131,5.181323173271246
2021-09-01,273.942,16489.6,116.69669899934823,14130.305433996977,12.418104594323731,6.695468165561991,5.363523425270289
2021-10-01,276.528,16704.2,117.79831052154022,14180.339196754036,13.43492373928752,6.785807993720661,6.226591220771449
2021-11-01,278.824,16849.8,118.77638478872998,14186.153274467048,14.61201501877345,7.248785795208468,6.865559520296194
2021-12-01,280.806,16891.0,119.6206980280898,14120.466004999893,13.958979894751057,6.345237945485649,7.159457345112474
2022-01-01,282.542,16993.8,120.360217595965,14119.11704666917,12.74331586280104,4.801380803173361,7.578082463000535
2022-02-01,284.525,17106.0,121.20495682585933,14113.28418240928,14.165582140354394,5.758597597679027,7.949220898953979
2022-03-01,287.467,17347.2,122.45822097832986,14165.810887510568,10.423496311196256,1.7345703247029887,8.540780148538584
2022-04-01,288.582,17490.0,122.93320042428657,14227.238809073331,9.879063923354803,1.518824523235951,8.235161744022502
2022-05-01,291.299,17574.5,124.09061670649677,14162.634102760396,10.02285034588537,1.3754703045222083,8.530051713089225
2022-06-01,295.072,17755.2,125.69787899312877,14125.298009977227,9.65618187095858,0.6026495034676005,8.999298141923106
2022-07-01,294.94,17770.1,125.64164824257604,14143.478892995185,9.423819405530875,0.9000103228629763,8.447778206754553
2022-08-01,295.162,17916.5,125.73621814123288,14249.275399611064,9.161086706188426,0.8730958635810415,8.216255059541266
2022-09-01,296.421,17992.8,126.27254022415622,14249.178774783162,9.116048903551333,0.8412651894995848,8.205751582451759
2022-10-01,297.979,18109.6,126.93623347689214,14266.690844656838,8.413452904060037,0.6089533311203654,7.757261470809462
2022-11-01,298.708,18108.0,127.2467805765356,14230.615437149321,7.467150945411816,0.31341944374940756,7.131380368978291
2022-12-01,298.808,18116.5,127.28937962998461,14232.530673542879,7.255343082114729,0.7936329332424608,6.410831677385809
2023-01-01,300.456,18449.1,127.99141203082468,14414.326482746224,8.563711471242442,2.0908491310134503,6.340296309929161
2023-02-01,301.476,18491.6,128.4259223760048,14398.650722445569,8.100081842628315,2.02197118932792,5.957648712766894
2023-03-01,301.643,18520.4,128.49706279526467,14413.092094959939,6.763051097583483,1.7456198548251756,4.931348641757127
2023-04-01,302.858,18641.8,129.0146412946704,14449.367771694986,6.585477415666086,1.5612935552891338,4.946947488062325
2023-05-01,303.316,18664.6,129.20974495946697,14445.19529533556,6.202736919969265,1.995117507978894,4.125314539356473
2023-06-01,304.099,18773.0,129.5432955479729,14491.680114041814,5.732405154546272,2.5938008798525702,3.0592533347792994
2023-07-01,304.615,18884.2,129.76310666376995,14552.826674326607,6.269520149014363,2.8942510143961764,3.28032820234625
2023-08-01,306.138,18953.3,130.41189024779868,14533.414065225486,5.786844528786306,1.99405694427226,3.7186358677607556
2023-09-01,307.374,19048.1,130.93841454842874,14547.373332487457,5.865123827308705,2.092713990170525,3.6950823322234427
2023-10-01,307.653,19109.4,131.05726590755154,14580.954262757068,5.520828731722416,2.2027772349039854,3.2465375076767167
2023-11-01,308.087,19178.9,131.2421457995203,14613.369724460954,5.9139606803622735,2.6896537890585215,3.139855644977696
2023-12-01,308.735,19283.5,131.51818766587007,14662.230633067193,6.4416415974388075,3.019139528875847,3.322200208829762
2024-01-01,309.794,19303.3,131.9693116418953,14627.112742984049,4.630036153525108,1.476213685686445,3.1079425939238847
2024-02-01,311.022,19446.5,132.49242801824943,14677.442545864924,5.16396634147398,1.9362357542624276,3.16642120765831
2024-03-01,312.107,19581.8,132.95462774817145,14728.182336826792,5.730977732662357,2.1861391004157626,3.4690014354717524
2024-04-01,313.016,19665.7,133.34185314402313,14748.332602486775,5.492495359890137,2.0690512935620298,3.3540471111874304
2024-05-01,313.14,19758.0,133.39467597029991,14811.68559110941,5.8581485807357225,2.5371086252616637,3.238866396761142
2024-06-01,313.131,19844.5,133.3908420554895,14876.95833852286,5.707665263942907,2.6586166783223897,2.9700853998204435
2024-07-01,313.566,19949.5,133.5761479379928,14934.926862287368,5.641223880280877,2.6256080451699804,2.9384633061405374
2024-08-01,314.131,20001.3,133.81683258997984,14946.774342869696,5.529380107949544,2.844206294467777,2.6109140322338353
2024-09-01,314.851,20147.6,134.12354577481287,15021.6726553195,5.772229251211414,3.260377746495502,2.432541464144644
2024-10-01,315.564,20226.0,134.4272770259045,15046.053485188424,5.843197588621307,3.1897721784871047,2.5714034967967203
2024-11-01,316.449,20313.6,134.8042786489284,15068.957902221211,5.916397707897736,3.1176120658718443,2.7141684004842848
2024-12-01,317.603,20514.3,135.29587172573025,15162.546896912183,6.382658749708292,3.412279320696565,2.872366268806581
